sweep,magnetizzazione_su_spin
500,-0.873047
1000,-0.833984
1500,-0.832031
2000,-0.837891
2500,-0.906250
3000,-0.898438
3500,-0.763672
4000,-0.794922
4500,-0.535156
5000,0.369141
5500,0.890625
6000,0.791016
6500,0.794922
7000,0.867188
7500,0.845703
8000,0.849609
8500,0.783203
9000,0.835938
9500,0.845703
10000,0.796875
10500,0.855469
11000,0.873047
11500,0.804688
12000,0.843750
12500,0.806641
13000,0.787109
13500,0.824219
14000,0.812500
14500,0.884766
15000,0.777344
15500,0.851562
16000,0.843750
16500,0.748047
17000,0.636719
17500,0.710938
18000,0.808594
18500,0.779297
19000,0.873047
19500,0.822266
20000,0.314453
20500,-0.871094
21000,-0.806641
21500,-0.771484
22000,-0.833984
22500,-0.767578
23000,-0.835938
23500,-0.832031
24000,-0.792969
24500,-0.728516
25000,-0.896484
25500,-0.832031
26000,-0.812500
26500,-0.804688
27000,-0.814453
27500,-0.798828
28000,-0.910156
28500,-0.875000
29000,-0.822266
29500,-0.873047
30000,-0.888672
30500,-0.802734
31000,-0.626953
31500,-0.607422
32000,-0.878906
32500,-0.792969
33000,-0.867188
33500,-0.837891
34000,-0.626953
34500,-0.851562
35000,-0.859375
35500,-0.855469
36000,-0.855469
36500,-0.779297
37000,-0.810547
37500,-0.816406
38000,-0.851562
38500,-0.771484
39000,-0.878906
39500,-0.750000
40000,-0.888672
40500,-0.796875
41000,-0.835938
41500,-0.765625
42000,-0.830078
42500,-0.652344
43000,-0.832031
43500,-0.865234
44000,-0.884766
44500,-0.902344
45000,-0.845703
45500,-0.634766
46000,-0.849609
46500,-0.654297
47000,-0.777344
47500,-0.796875
48000,-0.796875
48500,-0.742188
49000,-0.884766
49500,-0.732422
50000,-0.818359
