sweep,magnetizzazione_su_spin
500,0.058594
1000,0.019531
1500,0.013672
2000,0.041016
2500,-0.009766
3000,0.003906
3500,0.031250
4000,0.021484
4500,-0.078125
5000,0.066406
5500,0.011719
6000,0.070312
6500,0.029297
7000,0.039062
7500,0.017578
8000,0.013672
8500,-0.025391
9000,0.117188
9500,-0.064453
10000,0.027344
10500,-0.019531
11000,0.000000
11500,0.009766
12000,0.017578
12500,-0.017578
13000,-0.013672
13500,0.054688
14000,0.009766
14500,-0.050781
15000,-0.039062
15500,0.025391
16000,0.029297
16500,-0.042969
17000,0.054688
17500,-0.019531
18000,0.025391
18500,0.039062
19000,-0.058594
19500,0.025391
20000,0.013672
20500,0.011719
21000,-0.023438
21500,-0.039062
22000,-0.029297
22500,0.050781
23000,-0.025391
23500,-0.007812
24000,0.048828
24500,-0.015625
25000,0.005859
25500,0.011719
26000,-0.001953
26500,-0.013672
27000,-0.021484
27500,-0.021484
28000,-0.017578
28500,0.056641
29000,0.011719
29500,0.068359
30000,0.029297
30500,0.005859
31000,-0.060547
31500,0.078125
32000,0.033203
32500,-0.052734
33000,-0.037109
33500,-0.056641
34000,0.001953
34500,0.000000
35000,-0.048828
35500,0.033203
36000,0.054688
36500,-0.003906
37000,-0.001953
37500,-0.013672
38000,-0.044922
38500,0.001953
39000,-0.005859
39500,-0.027344
40000,0.083984
40500,0.000000
41000,0.042969
41500,0.025391
42000,0.046875
42500,-0.021484
43000,-0.082031
43500,-0.013672
44000,-0.017578
44500,0.105469
45000,0.031250
45500,0.019531
46000,-0.009766
46500,0.035156
47000,-0.015625
47500,-0.056641
48000,0.003906
48500,0.031250
49000,0.007812
49500,-0.015625
50000,-0.041016
