sweep,magnetizzazione_su_spin
500,-0.980469
1000,-0.955078
1500,-0.962891
2000,-0.974609
2500,-0.966797
3000,-0.966797
3500,-0.976562
4000,-0.970703
4500,-0.968750
5000,-0.972656
5500,-0.982422
6000,-0.980469
6500,-0.984375
7000,-0.980469
7500,-0.990234
8000,-0.960938
8500,-0.970703
9000,-0.964844
9500,-0.986328
10000,-0.968750
10500,-0.978516
11000,-0.984375
11500,-0.962891
12000,-0.984375
12500,-0.957031
13000,-0.978516
13500,-0.972656
14000,-0.972656
14500,-0.972656
15000,-0.962891
15500,-0.960938
16000,-0.970703
16500,-0.980469
17000,-0.974609
17500,-0.974609
18000,-0.980469
18500,-0.960938
19000,-0.984375
19500,-0.972656
20000,-0.988281
20500,-0.980469
21000,-0.968750
21500,-0.978516
22000,-0.980469
22500,-0.978516
23000,-0.962891
23500,-0.976562
24000,-0.980469
24500,-0.978516
25000,-0.964844
25500,-0.958984
26000,-0.958984
26500,-0.966797
27000,-0.978516
27500,-0.990234
28000,-0.974609
28500,-0.972656
29000,-0.984375
29500,-0.962891
30000,-0.947266
30500,-0.945312
31000,-0.982422
31500,-0.951172
32000,-0.982422
32500,-0.980469
33000,-0.978516
33500,-0.966797
34000,-0.974609
34500,-0.968750
35000,-0.986328
35500,-0.964844
36000,-0.974609
36500,-0.980469
37000,-0.955078
37500,-0.980469
38000,-0.984375
38500,-0.972656
39000,-0.968750
39500,-0.966797
40000,-0.962891
40500,-0.978516
41000,-0.988281
41500,-0.974609
42000,-0.968750
42500,-0.980469
43000,-0.976562
43500,-0.972656
44000,-0.982422
44500,-0.970703
45000,-0.968750
45500,-0.976562
46000,-0.964844
46500,-0.968750
47000,-0.968750
47500,-0.986328
48000,-0.964844
48500,-0.978516
49000,-0.960938
49500,-0.978516
50000,-0.955078
