sweep,magnetizzazione_su_spin
500,0.775391
1000,0.826172
1500,0.873047
2000,0.572266
2500,0.773438
3000,0.783203
3500,0.669922
4000,0.718750
4500,0.837891
5000,0.736328
5500,0.871094
6000,0.730469
6500,0.689453
7000,0.830078
7500,0.890625
8000,0.898438
8500,0.449219
9000,-0.705078
9500,-0.753906
10000,-0.798828
10500,-0.800781
11000,-0.833984
11500,-0.888672
12000,-0.751953
12500,-0.621094
13000,-0.769531
13500,-0.808594
14000,-0.787109
14500,-0.820312
15000,-0.769531
15500,-0.730469
16000,-0.832031
16500,-0.875000
17000,-0.603516
17500,-0.755859
18000,-0.824219
18500,-0.759766
19000,-0.777344
19500,-0.654297
20000,-0.455078
20500,-0.857422
21000,-0.861328
21500,-0.837891
22000,-0.890625
22500,-0.804688
23000,-0.781250
23500,-0.812500
24000,-0.736328
24500,-0.804688
25000,-0.785156
25500,-0.796875
26000,-0.853516
26500,-0.748047
27000,-0.720703
27500,-0.783203
28000,-0.833984
28500,-0.607422
29000,-0.851562
29500,-0.722656
30000,-0.710938
30500,-0.785156
31000,-0.873047
31500,-0.812500
32000,-0.716797
32500,-0.726562
33000,-0.833984
33500,-0.867188
34000,-0.865234
34500,-0.681641
35000,-0.785156
35500,-0.775391
36000,-0.841797
36500,-0.835938
37000,-0.792969
37500,-0.802734
38000,-0.830078
38500,-0.681641
39000,-0.570312
39500,-0.875000
40000,-0.753906
40500,-0.869141
41000,-0.841797
41500,-0.826172
42000,-0.878906
42500,-0.744141
43000,-0.736328
43500,-0.835938
44000,-0.826172
44500,-0.771484
45000,-0.777344
45500,-0.787109
46000,-0.779297
46500,-0.837891
47000,-0.802734
47500,-0.697266
48000,-0.765625
48500,-0.630859
49000,-0.841797
49500,-0.687500
50000,-0.781250
