sweep,magnetizzazione_su_spin
500,0.000122
1000,-0.013306
1500,0.000488
2000,-0.021851
2500,0.004395
3000,-0.012817
3500,0.013306
4000,-0.010620
4500,-0.007446
5000,0.003906
5500,-0.005615
6000,0.015259
6500,-0.006714
7000,-0.011353
7500,-0.016602
8000,-0.006226
8500,0.004639
9000,-0.004272
9500,0.006714
10000,0.010376
10500,-0.000732
11000,-0.016113
11500,0.019531
12000,0.009277
12500,-0.002808
13000,0.002808
13500,0.010864
14000,-0.004395
14500,0.022461
15000,-0.023315
15500,-0.017456
16000,-0.014526
16500,0.001343
17000,0.010132
17500,-0.017212
18000,0.004883
18500,0.005005
19000,-0.019165
19500,-0.003296
20000,-0.001587
20500,0.005127
21000,0.010742
21500,-0.003296
22000,0.010010
22500,-0.013794
23000,-0.007202
23500,0.011963
24000,-0.000732
24500,-0.010254
25000,-0.004272
25500,0.017700
26000,-0.001343
26500,-0.006836
27000,-0.010376
27500,0.002563
28000,-0.012817
28500,0.002075
29000,0.006470
29500,0.019165
30000,0.006104
30500,-0.012817
31000,0.004883
31500,-0.003296
32000,0.005737
32500,0.002319
33000,0.002563
33500,-0.004883
34000,-0.002808
34500,0.010986
35000,-0.000732
35500,-0.016846
36000,0.002441
36500,-0.004639
37000,-0.010254
37500,-0.008789
38000,0.017212
38500,0.001831
39000,-0.012085
39500,-0.009399
40000,-0.008545
40500,-0.012573
41000,0.002441
41500,-0.016724
42000,-0.003052
42500,-0.000732
43000,0.011597
43500,-0.003662
44000,0.019531
44500,-0.005493
45000,-0.016113
45500,-0.004150
46000,-0.008301
46500,0.007568
47000,-0.016602
47500,-0.002930
48000,-0.011230
48500,-0.014160
49000,-0.009399
49500,-0.001587
50000,-0.008911
