sweep,magnetizzazione_su_spin
500,0.024902
1000,0.025879
1500,0.047974
2000,0.031494
2500,-0.030640
3000,0.041870
3500,-0.002808
4000,-0.036499
4500,0.057739
5000,0.051270
5500,-0.046143
6000,0.031860
6500,0.019653
7000,0.069214
7500,-0.084229
8000,0.071411
8500,-0.067993
9000,0.177246
9500,-0.061646
10000,-0.073975
10500,0.043701
11000,0.129395
11500,0.093994
12000,0.100830
12500,0.017944
13000,0.034912
13500,0.141479
14000,0.002319
14500,-0.003418
15000,-0.019287
15500,0.011963
16000,0.057129
16500,0.100830
17000,-0.182983
17500,-0.009277
18000,0.028320
18500,0.032104
19000,-0.035034
19500,-0.035278
20000,-0.023682
20500,-0.001587
21000,-0.035400
21500,-0.083252
22000,0.030273
22500,-0.005127
23000,-0.023560
23500,-0.096436
24000,-0.010010
24500,-0.039795
25000,-0.004395
25500,0.033447
26000,-0.030640
26500,-0.014526
27000,0.040649
27500,-0.045654
28000,-0.017700
28500,0.074585
29000,0.023804
29500,0.009033
30000,0.115112
30500,0.015381
31000,0.037842
31500,-0.023315
32000,-0.046875
32500,-0.060059
33000,0.010376
33500,0.056030
34000,0.026855
34500,0.073975
35000,0.032227
35500,-0.018066
36000,-0.037598
36500,0.010254
37000,0.012207
37500,-0.059448
38000,0.061890
38500,0.022705
39000,-0.122681
39500,-0.081055
40000,0.028564
40500,-0.033203
41000,0.055786
41500,-0.119507
42000,0.007568
42500,-0.041260
43000,0.115112
43500,-0.057983
44000,0.007080
44500,-0.101929
45000,0.027954
45500,0.071899
46000,0.026855
46500,-0.004639
47000,-0.051514
47500,-0.066772
48000,-0.026611
48500,0.017822
49000,0.071289
49500,0.015137
50000,-0.002441
