sweep,magnetizzazione_su_spin
500,-0.776489
1000,-0.750610
1500,-0.695190
2000,-0.667358
2500,-0.758911
3000,-0.746704
3500,-0.769043
4000,-0.474365
4500,-0.579224
5000,-0.806885
5500,-0.767090
6000,-0.764282
6500,-0.745728
7000,-0.773193
7500,-0.720581
8000,-0.765137
8500,-0.662476
9000,-0.779541
9500,-0.718018
10000,-0.755005
10500,-0.761963
11000,-0.752441
11500,-0.679932
12000,-0.740356
12500,-0.712280
13000,-0.688354
13500,-0.690674
14000,-0.773926
14500,-0.697510
15000,-0.760498
15500,-0.741333
16000,-0.706055
16500,-0.750366
17000,-0.777954
17500,-0.719238
18000,-0.779419
18500,-0.790161
19000,-0.644409
19500,-0.739502
20000,-0.724609
20500,-0.651489
21000,-0.726929
21500,-0.746338
22000,-0.791504
22500,-0.808594
23000,-0.744507
23500,-0.730103
24000,-0.754517
24500,-0.766846
25000,-0.752686
25500,-0.728394
26000,-0.790283
26500,-0.648193
27000,-0.608643
27500,-0.760254
28000,-0.775146
28500,-0.776489
29000,-0.713501
29500,-0.769165
30000,-0.783203
30500,-0.737305
31000,-0.767822
31500,-0.735596
32000,-0.750732
32500,-0.742432
33000,-0.747803
33500,-0.754395
34000,-0.683960
34500,-0.724609
35000,-0.749023
35500,-0.741577
36000,-0.724609
36500,-0.783203
37000,-0.789307
37500,-0.765991
38000,-0.708008
38500,-0.709961
39000,-0.726074
39500,-0.606079
40000,-0.789307
40500,-0.773682
41000,-0.745972
41500,-0.748169
42000,-0.744263
42500,-0.779297
43000,-0.772583
43500,-0.763184
44000,-0.767456
44500,-0.777100
45000,-0.735474
45500,-0.706909
46000,-0.676392
46500,-0.784790
47000,-0.768311
47500,-0.726807
48000,-0.753174
48500,-0.772827
49000,-0.758545
49500,-0.783569
50000,-0.706665
