sweep,magnetizzazione_su_spin
500,0.161255
1000,0.008789
1500,-0.014404
2000,0.177490
2500,0.160400
3000,0.016113
3500,-0.084229
4000,-0.237427
4500,0.037476
5000,-0.027954
5500,0.057373
6000,-0.028809
6500,0.045654
7000,0.069092
7500,-0.009277
8000,0.034302
8500,0.121826
9000,-0.005249
9500,0.046143
10000,0.053955
10500,-0.029907
11000,0.087036
11500,-0.048462
12000,-0.083130
12500,0.003662
13000,0.021851
13500,-0.058838
14000,-0.014893
14500,-0.123047
15000,-0.106201
15500,0.254028
16000,0.165039
16500,0.027710
17000,-0.047485
17500,-0.177124
18000,-0.052124
18500,0.003418
19000,-0.173584
19500,-0.001709
20000,-0.035278
20500,0.049927
21000,-0.094971
21500,-0.048950
22000,-0.099976
22500,-0.020752
23000,-0.126221
23500,0.044312
24000,-0.135620
24500,-0.055786
25000,0.010498
25500,0.084473
26000,-0.008179
26500,0.032104
27000,0.068848
27500,-0.019775
28000,0.024780
28500,-0.128418
29000,0.000244
29500,0.051025
30000,0.092773
30500,0.063232
31000,0.030884
31500,0.033081
32000,0.338745
32500,0.126343
33000,0.094482
33500,0.109985
34000,-0.067871
34500,0.035034
35000,0.038208
35500,-0.009521
36000,0.008301
36500,0.104004
37000,0.045776
37500,-0.139648
38000,-0.097778
38500,-0.219360
39000,-0.101074
39500,0.021606
40000,0.032715
40500,-0.011963
41000,-0.135376
41500,-0.177979
42000,-0.138062
42500,-0.089233
43000,-0.105957
43500,-0.139893
44000,-0.104614
44500,0.187256
45000,0.121338
45500,0.114380
46000,0.311523
46500,0.195801
47000,0.172485
47500,0.056396
48000,0.092651
48500,-0.058350
49000,0.206421
49500,0.226807
50000,0.116089
