sweep,magnetizzazione_su_spin
500,-0.994385
1000,-0.995239
1500,-0.996460
2000,-0.996582
2500,-0.994385
3000,-0.997192
3500,-0.996826
4000,-0.996826
4500,-0.994507
5000,-0.996460
5500,-0.995239
6000,-0.995361
6500,-0.996216
7000,-0.996094
7500,-0.996216
8000,-0.996338
8500,-0.998535
9000,-0.996826
9500,-0.997314
10000,-0.996704
10500,-0.996094
11000,-0.994995
11500,-0.994629
12000,-0.994873
12500,-0.996582
13000,-0.996460
13500,-0.995483
14000,-0.995972
14500,-0.995117
15000,-0.995605
15500,-0.996338
16000,-0.994507
16500,-0.995850
17000,-0.996216
17500,-0.994995
18000,-0.996094
18500,-0.995850
19000,-0.994751
19500,-0.995850
20000,-0.996094
20500,-0.995850
21000,-0.995361
21500,-0.996094
22000,-0.995728
22500,-0.996948
23000,-0.995361
23500,-0.995850
24000,-0.995728
24500,-0.995850
25000,-0.996216
25500,-0.995483
26000,-0.996338
26500,-0.995605
27000,-0.996948
27500,-0.996948
28000,-0.996948
28500,-0.995239
29000,-0.995483
29500,-0.996582
30000,-0.996582
30500,-0.995728
31000,-0.996460
31500,-0.996460
32000,-0.994995
32500,-0.996216
33000,-0.996582
33500,-0.995850
34000,-0.996460
34500,-0.996582
35000,-0.993774
35500,-0.996338
36000,-0.996704
36500,-0.996826
37000,-0.994995
37500,-0.996216
38000,-0.996338
38500,-0.995972
39000,-0.997192
39500,-0.996460
40000,-0.996948
40500,-0.996948
41000,-0.995850
41500,-0.997192
42000,-0.995361
42500,-0.996094
43000,-0.997559
43500,-0.996460
44000,-0.995850
44500,-0.997192
45000,-0.994751
45500,-0.995605
46000,-0.996826
46500,-0.993774
47000,-0.996094
47500,-0.996582
48000,-0.997681
48500,-0.994507
49000,-0.997070
49500,-0.996216
50000,-0.994385
