sweep,magnetizzazione_su_spin
500,-0.003052
1000,0.002197
1500,0.009033
2000,0.001465
2500,0.006470
3000,0.002441
3500,-0.013550
4000,-0.001953
4500,0.000854
5000,0.010742
5500,-0.012329
6000,-0.007812
6500,0.010498
7000,-0.002441
7500,-0.006592
8000,-0.006958
8500,-0.000122
9000,0.006714
9500,-0.006348
10000,0.009399
10500,0.001221
11000,0.001709
11500,-0.011963
12000,-0.005371
12500,0.000732
13000,0.013306
13500,0.002686
14000,0.009033
14500,0.005737
15000,-0.008057
15500,-0.002319
16000,-0.001709
16500,-0.000488
17000,-0.012939
17500,-0.000610
18000,-0.000977
18500,0.010010
19000,0.010864
19500,0.003052
20000,-0.017700
20500,0.000000
21000,-0.003540
21500,0.000610
22000,0.000122
22500,-0.023071
23000,0.000000
23500,-0.001465
24000,0.003662
24500,-0.014893
25000,0.002808
25500,0.002563
26000,0.014771
26500,-0.011353
27000,-0.000610
27500,0.021118
28000,-0.010254
28500,-0.001343
29000,-0.001709
29500,0.002075
30000,-0.009277
30500,-0.007935
31000,-0.002563
31500,-0.003906
32000,-0.017334
32500,-0.003418
33000,-0.000854
33500,-0.002563
34000,-0.011719
34500,0.008789
35000,-0.001587
35500,0.002197
36000,0.000977
36500,-0.015259
37000,0.007690
37500,-0.008423
38000,0.000610
38500,-0.002197
39000,0.011108
39500,0.015259
40000,0.011719
40500,-0.004395
41000,-0.010376
41500,0.007202
42000,0.031616
42500,-0.003540
43000,-0.009399
43500,-0.002686
44000,-0.010864
44500,-0.004150
45000,-0.006958
45500,-0.008423
46000,0.005371
46500,0.001343
47000,-0.011230
47500,0.004395
48000,-0.006348
48500,-0.014648
49000,-0.001831
49500,-0.018921
50000,-0.006958
