sweep,magnetizzazione_su_spin
500,-0.108154
1000,0.059692
1500,0.013794
2000,-0.029053
2500,-0.060791
3000,-0.049194
3500,-0.033691
4000,0.122314
4500,-0.002808
5000,-0.070312
5500,0.104614
6000,-0.003052
6500,-0.008911
7000,0.058350
7500,-0.002075
8000,0.143433
8500,0.012085
9000,0.001709
9500,-0.011475
10000,0.068604
10500,0.024902
11000,0.022583
11500,0.113159
12000,0.044800
12500,-0.017090
13000,-0.034912
13500,-0.042358
14000,-0.007324
14500,-0.071411
15000,-0.114502
15500,-0.027710
16000,0.030762
16500,0.000854
17000,-0.012451
17500,-0.005371
18000,-0.001709
18500,0.060425
19000,-0.087646
19500,0.039917
20000,0.087402
20500,-0.095337
21000,0.044556
21500,-0.030029
22000,-0.119019
22500,-0.087402
23000,0.065796
23500,0.055664
24000,0.092651
24500,0.023315
25000,-0.021729
25500,-0.006836
26000,0.044800
26500,0.046631
27000,0.025146
27500,0.014526
28000,-0.004272
28500,-0.031738
29000,-0.064087
29500,0.082153
30000,-0.032837
30500,-0.128906
31000,-0.065430
31500,-0.074829
32000,0.072998
32500,-0.074707
33000,0.083008
33500,0.033325
34000,-0.008789
34500,-0.081299
35000,-0.052979
35500,-0.015503
36000,0.021118
36500,0.027954
37000,-0.060425
37500,0.062500
38000,0.019409
38500,-0.069458
39000,0.033813
39500,0.019165
40000,-0.064819
40500,-0.094482
41000,-0.025635
41500,-0.075562
42000,-0.071167
42500,-0.081787
43000,-0.000488
43500,0.072998
44000,0.029419
44500,0.042847
45000,-0.032227
45500,-0.130615
46000,-0.064453
46500,-0.011108
47000,0.111084
47500,0.059082
48000,-0.033813
48500,0.016357
49000,-0.055664
49500,0.023315
50000,-0.014038
