sweep,magnetizzazione_su_spin
500,0.023438
1000,0.046875
1500,0.039062
2000,0.093750
2500,-0.343750
3000,0.203125
3500,0.046875
4000,-0.062500
4500,-0.046875
5000,-0.078125
5500,0.257812
6000,0.148438
6500,0.140625
7000,0.015625
7500,0.109375
8000,-0.125000
8500,0.289062
9000,0.148438
9500,-0.125000
10000,0.015625
10500,0.046875
11000,-0.015625
11500,0.046875
12000,0.031250
12500,0.281250
13000,-0.140625
13500,0.296875
14000,-0.140625
14500,-0.070312
15000,0.093750
15500,0.164062
16000,-0.125000
16500,-0.195312
17000,0.187500
17500,0.156250
18000,0.203125
18500,-0.093750
19000,-0.140625
19500,-0.125000
20000,-0.062500
20500,-0.171875
21000,-0.031250
21500,-0.195312
22000,-0.250000
22500,0.054688
23000,0.046875
23500,-0.117188
24000,-0.023438
24500,0.101562
25000,0.257812
25500,0.328125
26000,0.187500
26500,-0.093750
27000,-0.070312
27500,0.023438
28000,0.015625
28500,0.281250
29000,-0.062500
29500,0.125000
30000,-0.070312
30500,0.031250
31000,-0.187500
31500,-0.257812
32000,0.132812
32500,-0.085938
33000,-0.093750
33500,-0.007812
34000,-0.187500
34500,-0.195312
35000,-0.101562
35500,0.078125
36000,0.132812
36500,0.132812
37000,-0.093750
37500,0.093750
38000,-0.125000
38500,-0.500000
39000,0.062500
39500,0.023438
40000,0.195312
40500,0.078125
41000,-0.125000
41500,0.156250
42000,-0.054688
42500,0.062500
43000,-0.031250
43500,0.304688
44000,0.015625
44500,0.062500
45000,-0.179688
45500,-0.164062
46000,-0.046875
46500,0.062500
47000,-0.046875
47500,-0.031250
48000,0.031250
48500,-0.398438
49000,-0.140625
49500,-0.171875
50000,-0.093750
