sweep,magnetizzazione_su_spin
500,-0.021667
1000,0.008889
1500,0.012778
2000,-0.005000
2500,0.012222
3000,0.034444
3500,-0.013333
4000,-0.006667
4500,0.001667
5000,-0.012222
5500,0.005556
6000,0.020556
6500,0.018889
7000,-0.026667
7500,0.028889
8000,-0.026111
8500,0.046111
9000,-0.018889
9500,-0.010556
10000,-0.005556
10500,0.006111
11000,0.015000
11500,0.002222
12000,-0.022778
12500,0.002222
13000,-0.003889
13500,-0.022778
14000,-0.016667
14500,0.000556
15000,-0.003333
15500,-0.005000
16000,0.030000
16500,0.008889
17000,-0.022222
17500,-0.016667
18000,0.052778
18500,-0.011667
19000,-0.006667
19500,-0.002778
20000,0.036111
20500,0.024444
21000,-0.046111
21500,0.002778
22000,-0.005000
22500,0.006111
23000,-0.030000
23500,-0.019444
24000,0.015000
24500,0.025556
25000,-0.023889
25500,-0.025000
26000,-0.003333
26500,0.005000
27000,-0.021667
27500,-0.008333
28000,-0.010556
28500,-0.006667
29000,-0.021667
29500,-0.002222
30000,0.010000
30500,0.020556
31000,-0.026667
31500,0.003889
32000,0.002222
32500,0.013333
33000,0.033333
33500,-0.041667
34000,0.030000
34500,-0.001111
35000,0.008333
35500,-0.038889
36000,-0.000556
36500,0.007222
37000,0.032222
37500,-0.041111
38000,-0.025556
38500,-0.012222
39000,0.005000
39500,0.006667
40000,-0.020000
40500,-0.010556
41000,0.026111
41500,-0.034444
42000,0.031111
42500,0.030556
43000,0.003333
43500,0.007778
44000,-0.027778
44500,0.006667
45000,0.045000
45500,-0.042222
46000,-0.008889
46500,-0.016111
47000,0.012222
47500,0.017222
48000,-0.027778
48500,-0.014444
49000,-0.003333
49500,0.012778
50000,-0.047778
