sweep,magnetizzazione_su_spin
500,-0.995000
1000,-0.994444
1500,-0.998889
2000,-0.992778
2500,-0.994444
3000,-0.993889
3500,-0.998333
4000,-0.997222
4500,-0.996111
5000,-0.997222
5500,-0.995000
6000,-0.995000
6500,-0.996667
7000,-0.997778
7500,-0.997222
8000,-0.996667
8500,-0.997222
9000,-0.996111
9500,-0.993333
10000,-0.997778
10500,-0.997778
11000,-0.995556
11500,-0.995000
12000,-0.996111
12500,-0.996111
13000,-0.997778
13500,-0.998889
14000,-0.995556
14500,-0.996667
15000,-0.993889
15500,-0.996111
16000,-0.995000
16500,-0.997778
17000,-0.995556
17500,-0.995000
18000,-0.995000
18500,-0.996111
19000,-0.997222
19500,-0.997222
20000,-0.997222
20500,-0.994444
21000,-0.995556
21500,-0.992222
22000,-0.995000
22500,-0.996667
23000,-0.993333
23500,-0.996111
24000,-0.996111
24500,-0.996667
25000,-0.995000
25500,-0.996667
26000,-0.992778
26500,-0.996111
27000,-0.996111
27500,-0.996111
28000,-1.000000
28500,-0.998333
29000,-0.995000
29500,-0.992778
30000,-0.998333
30500,-0.994444
31000,-0.996667
31500,-1.000000
32000,-0.997222
32500,-0.997222
33000,-0.993889
33500,-0.995000
34000,-0.996667
34500,-0.994444
35000,-0.996111
35500,-0.992222
36000,-0.991667
36500,-0.997222
37000,-0.997222
37500,-0.993889
38000,-0.993333
38500,-0.993889
39000,-0.993333
39500,-0.997778
40000,-0.997778
40500,-0.995556
41000,-0.996667
41500,-0.996111
42000,-0.996667
42500,-0.993889
43000,-0.998889
43500,-0.997778
44000,-0.997222
44500,-0.997778
45000,-0.994444
45500,-0.996111
46000,-0.994444
46500,-0.996111
47000,-0.997778
47500,-0.997778
48000,-0.996111
48500,-0.995000
49000,-0.994444
49500,-0.996667
50000,-0.995556
