sweep,magnetizzazione_su_spin
500,-0.923889
1000,-0.916111
1500,-0.900000
2000,-0.862222
2500,-0.911111
3000,-0.923889
3500,-0.918333
4000,-0.938889
4500,-0.889444
5000,-0.913333
5500,-0.912778
6000,-0.925000
6500,-0.902778
7000,-0.940556
7500,-0.923333
8000,-0.930556
8500,-0.926667
9000,-0.907222
9500,-0.917222
10000,-0.898333
10500,-0.906111
11000,-0.901111
11500,-0.878333
12000,-0.915556
12500,-0.926111
13000,-0.892778
13500,-0.877778
14000,-0.925000
14500,-0.914444
15000,-0.932222
15500,-0.925000
16000,-0.926667
16500,-0.917778
17000,-0.888333
17500,-0.910000
18000,-0.931667
18500,-0.882222
19000,-0.910000
19500,-0.941111
20000,-0.916111
20500,-0.920000
21000,-0.913889
21500,-0.898333
22000,-0.933889
22500,-0.883889
23000,-0.901111
23500,-0.924444
24000,-0.916667
24500,-0.911667
25000,-0.915000
25500,-0.928333
26000,-0.854444
26500,-0.905000
27000,-0.923889
27500,-0.913889
28000,-0.923333
28500,-0.908889
29000,-0.901111
29500,-0.904444
30000,-0.904444
30500,-0.898333
31000,-0.928889
31500,-0.927778
32000,-0.898333
32500,-0.895000
33000,-0.907778
33500,-0.935000
34000,-0.911667
34500,-0.910556
35000,-0.921111
35500,-0.908333
36000,-0.938333
36500,-0.916667
37000,-0.925556
37500,-0.896667
38000,-0.902222
38500,-0.909444
39000,-0.906111
39500,-0.932222
40000,-0.927778
40500,-0.892222
41000,-0.919444
41500,-0.886667
42000,-0.891667
42500,-0.908889
43000,-0.918333
43500,-0.923889
44000,-0.917778
44500,-0.883889
45000,-0.923333
45500,-0.907222
46000,-0.894444
46500,-0.878889
47000,-0.893889
47500,-0.909444
48000,-0.931111
48500,-0.931111
49000,-0.903333
49500,-0.891667
50000,-0.918333
