sweep,magnetizzazione_su_spin
500,-0.071667
1000,-0.081667
1500,0.000000
2000,-0.029444
2500,-0.026667
3000,-0.118333
3500,-0.002778
4000,-0.061111
4500,-0.089444
5000,0.063889
5500,-0.067222
6000,0.057222
6500,0.008889
7000,0.031667
7500,-0.045000
8000,0.065556
8500,0.002778
9000,0.013889
9500,-0.116667
10000,0.070556
10500,-0.038889
11000,0.047778
11500,0.053889
12000,-0.040556
12500,-0.093889
13000,-0.075556
13500,0.020000
14000,-0.042222
14500,0.010000
15000,-0.028889
15500,-0.009444
16000,-0.079444
16500,0.028333
17000,-0.020556
17500,0.064444
18000,-0.096667
18500,0.050556
19000,-0.030556
19500,-0.039444
20000,-0.088333
20500,-0.038889
21000,-0.007778
21500,0.136667
22000,-0.068889
22500,-0.105000
23000,0.016667
23500,-0.004444
24000,0.021667
24500,0.031111
25000,0.047222
25500,-0.053889
26000,0.028333
26500,-0.063333
27000,-0.050556
27500,-0.099444
28000,-0.102778
28500,0.063889
29000,0.053333
29500,0.068889
30000,0.002222
30500,0.073889
31000,0.122222
31500,-0.046667
32000,-0.040556
32500,0.023333
33000,-0.054444
33500,0.079444
34000,-0.018889
34500,0.081667
35000,-0.103889
35500,-0.001667
36000,0.042778
36500,0.037222
37000,-0.055000
37500,-0.027778
38000,-0.040556
38500,-0.109444
39000,0.145000
39500,-0.059444
40000,-0.140000
40500,-0.090000
41000,-0.015556
41500,-0.013889
42000,0.070556
42500,0.120000
43000,0.047778
43500,-0.047222
44000,-0.021111
44500,-0.064444
45000,0.012222
45500,0.012778
46000,0.032778
46500,0.047778
47000,-0.003333
47500,-0.076667
48000,-0.027778
48500,0.082222
49000,0.017778
49500,0.043889
50000,-0.050556
