sweep,magnetizzazione_su_spin
500,-0.960556
1000,-0.949444
1500,-0.952222
2000,-0.954444
2500,-0.952222
3000,-0.947778
3500,-0.943889
4000,-0.967222
4500,-0.953333
5000,-0.957222
5500,-0.951667
6000,-0.939444
6500,-0.947778
7000,-0.962778
7500,-0.943889
8000,-0.944444
8500,-0.953333
9000,-0.947778
9500,-0.963889
10000,-0.948889
10500,-0.962222
11000,-0.940556
11500,-0.964444
12000,-0.950000
12500,-0.957778
13000,-0.963333
13500,-0.930000
14000,-0.958889
14500,-0.948889
15000,-0.938333
15500,-0.952778
16000,-0.961111
16500,-0.940556
17000,-0.954444
17500,-0.955000
18000,-0.958889
18500,-0.954444
19000,-0.956111
19500,-0.962222
20000,-0.942222
20500,-0.958333
21000,-0.961111
21500,-0.950556
22000,-0.960556
22500,-0.950000
23000,-0.961111
23500,-0.955556
24000,-0.953889
24500,-0.941111
25000,-0.940000
25500,-0.947778
26000,-0.954444
26500,-0.959444
27000,-0.961111
27500,-0.948333
28000,-0.947778
28500,-0.946667
29000,-0.947778
29500,-0.968889
30000,-0.961667
30500,-0.956667
31000,-0.946667
31500,-0.962222
32000,-0.952778
32500,-0.956667
33000,-0.967778
33500,-0.951667
34000,-0.961111
34500,-0.945000
35000,-0.957222
35500,-0.938333
36000,-0.954444
36500,-0.960556
37000,-0.949444
37500,-0.958333
38000,-0.954444
38500,-0.961111
39000,-0.956111
39500,-0.956667
40000,-0.957778
40500,-0.958889
41000,-0.967778
41500,-0.958889
42000,-0.941667
42500,-0.955000
43000,-0.968889
43500,-0.951111
44000,-0.948889
44500,-0.966111
45000,-0.931667
45500,-0.962222
46000,-0.940000
46500,-0.961111
47000,-0.955000
47500,-0.947778
48000,-0.971667
48500,-0.949444
49000,-0.933333
49500,-0.965000
50000,-0.934444
