sweep,magnetizzazione_su_spin
500,-0.911667
1000,-0.917778
1500,-0.888333
2000,-0.900556
2500,-0.892778
3000,-0.894444
3500,-0.869444
4000,-0.880556
4500,-0.905000
5000,-0.851111
5500,-0.870556
6000,-0.872222
6500,-0.864444
7000,-0.897222
7500,-0.890000
8000,-0.885556
8500,-0.875556
9000,-0.881111
9500,-0.808889
10000,-0.906111
10500,-0.884444
11000,-0.889444
11500,-0.912222
12000,-0.893889
12500,-0.844444
13000,-0.876111
13500,-0.892778
14000,-0.845556
14500,-0.852778
15000,-0.855556
15500,-0.845000
16000,-0.870000
16500,-0.881111
17000,-0.862778
17500,-0.872222
18000,-0.841667
18500,-0.863333
19000,-0.899444
19500,-0.873333
20000,-0.887778
20500,-0.911667
21000,-0.887222
21500,-0.860556
22000,-0.903889
22500,-0.912222
23000,-0.905000
23500,-0.880000
24000,-0.877222
24500,-0.867222
25000,-0.903333
25500,-0.885556
26000,-0.880000
26500,-0.883333
27000,-0.859444
27500,-0.872222
28000,-0.877222
28500,-0.916667
29000,-0.881111
29500,-0.869444
30000,-0.884444
30500,-0.871667
31000,-0.878333
31500,-0.892778
32000,-0.877778
32500,-0.889444
33000,-0.857222
33500,-0.874444
34000,-0.896111
34500,-0.902222
35000,-0.902778
35500,-0.884444
36000,-0.878889
36500,-0.862778
37000,-0.823333
37500,-0.902778
38000,-0.866667
38500,-0.873333
39000,-0.875556
39500,-0.882778
40000,-0.895556
40500,-0.874444
41000,-0.852778
41500,-0.896667
42000,-0.872222
42500,-0.886111
43000,-0.901667
43500,-0.876111
44000,-0.883333
44500,-0.868889
45000,-0.847222
45500,-0.897778
46000,-0.856111
46500,-0.890556
47000,-0.903333
47500,-0.882222
48000,-0.861111
48500,-0.870000
49000,-0.883333
49500,-0.906667
50000,-0.862778
