sweep,magnetizzazione_su_spin
500,0.979492
1000,0.961426
1500,0.976562
2000,0.971680
2500,0.977051
3000,0.969727
3500,0.972656
4000,0.975586
4500,0.978027
5000,0.980469
5500,0.975098
6000,0.963379
6500,0.976074
7000,0.972168
7500,0.971191
8000,0.980957
8500,0.971680
9000,0.979004
9500,0.979004
10000,0.972168
10500,0.972168
11000,0.976074
11500,0.969727
12000,0.978516
12500,0.967285
13000,0.978516
13500,0.965820
14000,0.975098
14500,0.972168
15000,0.981445
15500,0.976074
16000,0.977051
16500,0.977539
17000,0.966309
17500,0.967773
18000,0.974121
18500,0.969238
19000,0.969238
19500,0.966797
20000,0.978516
20500,0.976562
21000,0.968262
21500,0.970215
22000,0.969727
22500,0.974609
23000,0.981934
23500,0.974121
24000,0.962402
24500,0.965820
25000,0.978027
25500,0.970215
26000,0.968262
26500,0.974609
27000,0.971191
27500,0.973145
28000,0.967773
28500,0.970215
29000,0.974609
29500,0.975586
30000,0.974121
30500,0.981445
31000,0.975586
31500,0.972168
32000,0.977539
32500,0.983398
33000,0.974609
33500,0.970215
34000,0.978027
34500,0.971680
35000,0.969238
35500,0.979980
36000,0.969238
36500,0.969727
37000,0.970703
37500,0.981445
38000,0.970703
38500,0.973145
39000,0.965820
39500,0.970215
40000,0.974121
40500,0.974609
41000,0.976562
41500,0.981934
42000,0.978027
42500,0.975098
43000,0.974609
43500,0.979004
44000,0.971191
44500,0.975098
45000,0.976074
45500,0.972656
46000,0.967773
46500,0.972656
47000,0.973633
47500,0.970215
48000,0.980957
48500,0.964355
49000,0.972168
49500,0.970703
50000,0.981445
