sweep,magnetizzazione_su_spin
500,0.663086
1000,0.812988
1500,0.827637
2000,0.761719
2500,0.784180
3000,0.809082
3500,0.718750
4000,0.805664
4500,0.607422
5000,0.498047
5500,0.785156
6000,0.781250
6500,0.695312
7000,0.721191
7500,0.745605
8000,0.763184
8500,0.820801
9000,0.725586
9500,0.813965
10000,0.826172
10500,0.845703
11000,0.736816
11500,0.616699
12000,0.836426
12500,0.582031
13000,0.738770
13500,0.728027
14000,0.761230
14500,0.821289
15000,0.751953
15500,0.806152
16000,0.767578
16500,0.793945
17000,0.733398
17500,0.802246
18000,0.766602
18500,0.655273
19000,0.824707
19500,0.821777
20000,0.744141
20500,0.705566
21000,0.817383
21500,0.840332
22000,0.693848
22500,0.665039
23000,0.574707
23500,0.520996
24000,0.600586
24500,0.787598
25000,0.824219
25500,0.784668
26000,0.621582
26500,0.715820
27000,0.745605
27500,0.824707
28000,0.795898
28500,0.811035
29000,0.785645
29500,0.776855
30000,0.709961
30500,0.747070
31000,0.826660
31500,0.806641
32000,0.749023
32500,0.734863
33000,0.798828
33500,0.750977
34000,0.749023
34500,0.827637
35000,0.799805
35500,0.762207
36000,0.810059
36500,0.782715
37000,0.803223
37500,0.766113
38000,0.783691
38500,0.769043
39000,0.760742
39500,0.779297
40000,0.744629
40500,0.651855
41000,0.789551
41500,0.822266
42000,0.724609
42500,0.713379
43000,0.756836
43500,0.842773
44000,0.591797
44500,0.689453
45000,0.822266
45500,0.810547
46000,0.716797
46500,0.776367
47000,0.850098
47500,0.761230
48000,0.753418
48500,0.744141
49000,0.754883
49500,0.621582
50000,0.780762
