sweep,magnetizzazione_su_spin
500,0.172852
1000,0.138184
1500,0.097656
2000,0.034668
2500,-0.171875
3000,0.152832
3500,-0.042969
4000,-0.036133
4500,0.077637
5000,0.021973
5500,0.354004
6000,0.202148
6500,-0.091797
7000,0.064453
7500,0.064941
8000,0.055664
8500,-0.032715
9000,0.130859
9500,0.025391
10000,0.104004
10500,0.054199
11000,0.059082
11500,-0.020020
12000,0.237305
12500,0.043945
13000,-0.000488
13500,-0.278809
14000,0.060547
14500,0.027344
15000,0.113281
15500,0.033203
16000,-0.174316
16500,0.002441
17000,0.010742
17500,0.002930
18000,0.257324
18500,0.088867
19000,-0.096191
19500,0.040039
20000,-0.079102
20500,-0.173340
21000,-0.107422
21500,-0.147461
22000,0.065430
22500,0.059082
23000,0.095703
23500,-0.161621
24000,-0.076172
24500,0.037598
25000,-0.306152
25500,-0.188965
26000,0.127441
26500,-0.110352
27000,-0.070312
27500,0.014648
28000,0.008301
28500,-0.137695
29000,0.014160
29500,-0.111328
30000,0.043457
30500,0.031250
31000,-0.084473
31500,-0.265137
32000,0.202148
32500,0.103516
33000,-0.094238
33500,-0.061523
34000,-0.082520
34500,-0.031738
35000,0.071777
35500,0.173828
36000,-0.099121
36500,-0.052734
37000,-0.014648
37500,-0.173828
38000,-0.062012
38500,-0.099609
39000,-0.035156
39500,-0.011230
40000,0.065918
40500,0.100098
41000,-0.019043
41500,-0.002441
42000,-0.015625
42500,-0.009277
43000,0.052246
43500,-0.019531
44000,-0.107422
44500,0.134277
45000,-0.059570
45500,0.034180
46000,0.177734
46500,0.034668
47000,0.207031
47500,0.169434
48000,0.071289
48500,0.310547
49000,0.166992
49500,0.041504
50000,0.070312
