sweep,magnetizzazione_su_spin
500,0.011230
1000,0.031738
1500,-0.026855
2000,-0.002441
2500,0.066406
3000,-0.006836
3500,0.054199
4000,0.106445
4500,0.000488
5000,-0.042969
5500,0.108398
6000,0.073730
6500,-0.031738
7000,0.113770
7500,-0.104004
8000,0.087402
8500,0.020996
9000,-0.002930
9500,0.055664
10000,0.076172
10500,-0.010742
11000,0.032715
11500,0.145996
12000,0.105469
12500,0.036133
13000,0.028320
13500,0.044434
14000,-0.112793
14500,0.020508
15000,-0.030762
15500,-0.070312
16000,-0.087891
16500,-0.004883
17000,0.005859
17500,-0.005371
18000,-0.028320
18500,-0.028320
19000,0.058105
19500,0.086426
20000,-0.039062
20500,-0.014648
21000,-0.153320
21500,0.012207
22000,-0.051758
22500,-0.046387
23000,0.047363
23500,-0.080566
24000,0.074707
24500,-0.021973
25000,-0.009766
25500,-0.019043
26000,-0.040039
26500,0.074219
27000,0.104980
27500,0.029297
28000,0.019043
28500,0.016602
29000,-0.028320
29500,-0.086426
30000,-0.084473
30500,-0.045898
31000,0.046387
31500,0.071777
32000,0.053223
32500,-0.009766
33000,-0.078613
33500,0.019043
34000,0.102539
34500,-0.060547
35000,-0.215332
35500,-0.016113
36000,-0.049316
36500,-0.091797
37000,0.019043
37500,0.015137
38000,-0.025391
38500,0.003418
39000,0.003418
39500,-0.063477
40000,-0.055176
40500,0.048340
41000,0.046875
41500,-0.038574
42000,0.000977
42500,-0.081543
43000,-0.189941
43500,0.164551
44000,0.100098
44500,-0.072266
45000,0.021484
45500,0.016113
46000,-0.048828
46500,0.001465
47000,0.035156
47500,-0.057617
48000,0.103027
48500,0.020508
49000,-0.083496
49500,-0.047852
50000,0.047852
