L,beta,<M>,<M2>,errore su <M>
16,0.100000,0.057734,0.005377,0.004520
16,0.200000,0.089844,0.013303,0.007233
16,0.300000,0.136484,0.027834,0.009595
16,0.400000,0.387422,0.195435,0.021293
16,0.420000,0.554375,0.355853,0.022028
16,0.430000,0.617656,0.425416,0.020956
16,0.440000,0.664531,0.497114,0.023561
16,0.450000,0.759844,0.604712,0.016538
16,0.460000,0.828125,0.697053,0.010612
16,0.480000,0.884687,0.786492,0.006180
16,0.500000,0.910859,0.837104,0.008625
16,0.600000,0.971719,0.944644,0.002016
16,0.700000,0.989141,0.978514,0.001071
16,0.800000,0.995781,0.991613,0.000568
32,0.100000,0.034258,0.001688,0.002269
32,0.200000,0.047637,0.003235,0.003107
32,0.300000,0.068145,0.007751,0.005574
32,0.400000,0.169355,0.043771,0.012284
32,0.420000,0.347012,0.156871,0.019093
32,0.430000,0.466738,0.269594,0.022748
32,0.440000,0.624316,0.434612,0.021176
32,0.450000,0.757090,0.581750,0.009255
32,0.460000,0.825898,0.687388,0.007266
32,0.480000,0.877402,0.771297,0.003824
32,0.500000,0.907520,0.824641,0.003239
32,0.600000,0.975020,0.950751,0.000939
32,0.700000,0.990508,0.981130,0.000488
32,0.800000,0.996074,0.992174,0.000319
64,0.100000,0.016626,0.000410,0.001158
64,0.200000,0.022847,0.000814,0.001708
64,0.300000,0.033647,0.001738,0.002462
64,0.400000,0.084985,0.011227,0.006328
64,0.420000,0.168975,0.040341,0.010857
64,0.430000,0.321655,0.135372,0.017863
64,0.440000,0.598110,0.376977,0.013871
64,0.450000,0.750684,0.568373,0.006962
64,0.460000,0.810107,0.658797,0.005023
64,0.480000,0.877319,0.770108,0.002046
64,0.500000,0.910308,0.828846,0.001365
64,0.600000,0.973779,0.948266,0.000450
64,0.700000,0.989995,0.980097,0.000257
64,0.800000,0.996094,0.992205,0.000151
128,0.100000,0.008684,0.000121,0.000673
128,0.200000,0.010803,0.000174,0.000756
128,0.300000,0.016162,0.000395,0.001156
128,0.400000,0.049636,0.003862,0.003740
128,0.420000,0.078567,0.009132,0.005440
128,0.430000,0.178009,0.046817,0.012300
128,0.440000,0.524362,0.300228,0.015897
128,0.450000,0.747015,0.559280,0.003532
128,0.460000,0.817621,0.668838,0.001829
128,0.480000,0.875824,0.767187,0.001091
128,0.500000,0.910482,0.829028,0.000710
128,0.600000,0.973389,0.947492,0.000245
128,0.700000,0.990192,0.980481,0.000139
128,0.800000,0.995945,0.991907,0.000079
