L,comp_time,comm_time,save_time,total_time
16,6.658908,0.402666,32.684957,39.746531
32,24.349491,0.412115,22.845162,47.606768
64,109.673074,0.641206,12.033110,122.347389
128,456.941549,1.064121,19.880794,477.886464
16,6.518186,0.391351,29.432124,36.341661
32,24.896274,0.416092,27.335347,52.647713
64,109.793948,0.638977,11.999279,122.432204
128,454.306838,1.057334,20.345581,475.709752
16,6.489930,0.394515,29.595169,36.479614
32,25.658988,0.436762,21.700902,47.796652
64,109.480425,0.645793,11.765301,121.891518
128,459.218576,1.112741,20.597968,480.929285
16,6.833082,0.414852,34.130666,41.378600
32,24.318954,0.412539,28.141945,52.873438
64,109.499916,0.642161,12.008344,122.150421
128,451.549298,1.044941,19.790153,472.384391
16,6.428242,0.394454,27.520822,34.343517
32,24.980394,0.427365,27.771442,53.179201
64,109.209201,0.641434,11.859945,121.710579
128,451.283409,1.075814,19.133319,471.492542
