sweep,magnetizzazione_su_spin
500,-0.904722
1000,-0.910035
1500,-0.909653
2000,-0.916424
2500,-0.910000
3000,-0.913889
3500,-0.911701
4000,-0.911806
4500,-0.912743
5000,-0.916910
5500,-0.914375
6000,-0.910729
6500,-0.913611
7000,-0.907014
7500,-0.917049
8000,-0.910035
8500,-0.915729
9000,-0.915000
9500,-0.909444
10000,-0.908611
10500,-0.910243
11000,-0.912604
11500,-0.908229
12000,-0.914201
12500,-0.908368
13000,-0.908576
13500,-0.911667
14000,-0.911285
14500,-0.909306
15000,-0.913750
15500,-0.914444
16000,-0.911771
16500,-0.907674
17000,-0.911215
17500,-0.913299
18000,-0.909514
18500,-0.909167
19000,-0.907396
19500,-0.908264
20000,-0.915625
20500,-0.906736
21000,-0.917326
21500,-0.908125
22000,-0.912847
22500,-0.910139
23000,-0.910243
23500,-0.907326
24000,-0.911910
24500,-0.913507
25000,-0.910208
25500,-0.910243
26000,-0.917708
26500,-0.914653
27000,-0.910208
27500,-0.906910
28000,-0.911215
28500,-0.914757
29000,-0.907222
29500,-0.913299
30000,-0.904444
30500,-0.911875
31000,-0.909722
31500,-0.911215
32000,-0.917049
32500,-0.912743
33000,-0.913542
33500,-0.912014
34000,-0.916389
34500,-0.905799
35000,-0.905417
35500,-0.916042
36000,-0.912569
36500,-0.912118
37000,-0.907431
37500,-0.909479
38000,-0.907535
38500,-0.914618
39000,-0.909375
39500,-0.913090
40000,-0.907500
40500,-0.906215
41000,-0.907257
41500,-0.909653
42000,-0.912813
42500,-0.912326
43000,-0.913576
43500,-0.913924
44000,-0.913160
44500,-0.911042
45000,-0.915347
45500,-0.913160
46000,-0.913854
46500,-0.920000
47000,-0.905729
47500,-0.916562
48000,-0.913681
48500,-0.910694
49000,-0.915903
49500,-0.911701
50000,-0.914479
