L,beta,<M>,<M2>,errore su <M>
60,0.100000,0.018628,0.000501,0.001239
60,0.200000,0.024056,0.001017,0.002094
60,0.300000,0.034922,0.001890,0.002589
60,0.350000,0.049711,0.003682,0.003480
60,0.400000,0.107372,0.017555,0.007763
60,0.420000,0.171783,0.043554,0.011851
60,0.430000,0.325050,0.137446,0.017829
60,0.440000,0.613117,0.401901,0.016121
60,0.450000,0.739494,0.556486,0.009815
60,0.460000,0.813572,0.663406,0.003881
60,0.480000,0.878044,0.771610,0.002546
60,0.500000,0.913133,0.834007,0.001394
60,0.550000,0.954200,0.910560,0.000791
60,0.600000,0.973928,0.948563,0.000524
60,0.700000,0.990094,0.980295,0.000282
60,0.800000,0.995983,0.991985,0.000154
120,0.100000,0.009311,0.000144,0.000755
120,0.200000,0.011283,0.000183,0.000744
120,0.300000,0.015671,0.000382,0.001169
120,0.350000,0.027974,0.001171,0.001970
120,0.400000,0.043774,0.003131,0.003485
120,0.420000,0.086301,0.011968,0.006723
120,0.430000,0.187439,0.053209,0.013445
120,0.440000,0.540075,0.313048,0.014617
120,0.450000,0.748694,0.561688,0.003384
120,0.460000,0.811339,0.658770,0.002234
120,0.480000,0.875726,0.767036,0.001181
120,0.500000,0.912504,0.832716,0.000723
120,0.550000,0.954024,0.910179,0.000420
120,0.600000,0.973624,0.947949,0.000254
120,0.700000,0.990304,0.980704,0.000147
120,0.800000,0.995894,0.991806,0.000085
240,0.100000,0.004427,0.000029,0.000309
240,0.200000,0.006151,0.000058,0.000446
240,0.300000,0.009286,0.000139,0.000724
240,0.350000,0.013530,0.000306,0.001111
240,0.400000,0.026266,0.001038,0.001866
240,0.420000,0.049633,0.003991,0.003908
240,0.430000,0.078758,0.009553,0.005788
240,0.440000,0.493410,0.257152,0.011704
240,0.450000,0.747240,0.558755,0.001969
240,0.460000,0.813805,0.662378,0.000997
240,0.480000,0.877189,0.769490,0.000534
240,0.500000,0.911363,0.830596,0.000374
240,0.550000,0.953788,0.909716,0.000218
240,0.600000,0.973726,0.948144,0.000124
240,0.700000,0.990156,0.980409,0.000075
240,0.800000,0.996037,0.992090,0.000044
