L,beta,<M>,<M2>,errore su <M>
16,0.100000,0.054531,0.005227,0.004747
16,0.200000,0.081328,0.009902,0.005734
16,0.300000,0.137187,0.030541,0.010826
16,0.350000,0.209141,0.061192,0.013211
16,0.400000,0.396953,0.208735,0.022619
16,0.420000,0.543125,0.358402,0.025183
16,0.430000,0.688750,0.508568,0.018491
16,0.440000,0.677422,0.505049,0.021482
16,0.450000,0.757734,0.608333,0.018486
16,0.460000,0.828516,0.702634,0.012726
16,0.480000,0.870703,0.770363,0.011063
16,0.500000,0.913359,0.838576,0.006596
16,0.550000,0.955469,0.913713,0.002816
16,0.600000,0.974453,0.949846,0.001693
16,0.700000,0.988906,0.978033,0.000989
16,0.800000,0.995234,0.990539,0.000689
32,0.100000,0.033770,0.001668,0.002298
32,0.200000,0.042773,0.002861,0.003212
32,0.300000,0.060098,0.005466,0.004306
32,0.350000,0.101230,0.014768,0.006723
32,0.400000,0.208359,0.064720,0.014597
32,0.420000,0.391816,0.188683,0.018752
32,0.430000,0.497363,0.291366,0.020975
32,0.440000,0.640234,0.440157,0.017394
32,0.450000,0.747090,0.576141,0.013416
32,0.460000,0.815039,0.669410,0.007157
32,0.480000,0.885176,0.784665,0.003360
32,0.500000,0.909551,0.828013,0.002703
32,0.550000,0.955273,0.912766,0.001477
32,0.600000,0.971953,0.944800,0.001033
32,0.700000,0.990527,0.981170,0.000504
32,0.800000,0.996055,0.992134,0.000297
64,0.100000,0.016812,0.000425,0.001193
64,0.200000,0.019429,0.000670,0.001711
64,0.300000,0.031050,0.001507,0.002331
64,0.350000,0.051738,0.003867,0.003450
64,0.400000,0.112114,0.018783,0.007882
64,0.420000,0.168437,0.043513,0.012305
64,0.430000,0.285229,0.112568,0.017667
64,0.440000,0.577202,0.366448,0.018244
64,0.450000,0.742544,0.556030,0.006825
64,0.460000,0.809985,0.657401,0.003640
64,0.480000,0.877681,0.770714,0.001977
64,0.500000,0.912739,0.833277,0.001355
64,0.550000,0.953521,0.909247,0.000673
64,0.600000,0.974004,0.948705,0.000462
64,0.700000,0.990220,0.980541,0.000236
64,0.800000,0.995986,0.991991,0.000143
128,0.100000,0.007748,0.000097,0.000608
128,0.200000,0.010277,0.000164,0.000763
128,0.300000,0.018737,0.000508,0.001254
128,0.350000,0.025382,0.000979,0.001831
128,0.400000,0.053406,0.004424,0.003965
128,0.420000,0.091301,0.013079,0.006887
128,0.430000,0.162770,0.036823,0.010163
128,0.440000,0.513730,0.288699,0.015742
128,0.450000,0.749709,0.563201,0.003371
128,0.460000,0.815697,0.665731,0.001922
128,0.480000,0.879166,0.773007,0.000860
128,0.500000,0.911165,0.830266,0.000675
128,0.550000,0.954363,0.910819,0.000331
128,0.600000,0.973713,0.948124,0.000247
128,0.700000,0.990286,0.980667,0.000120
128,0.800000,0.995909,0.991836,0.000075
