L,beta,<M>,<M2>,errore su <M>
16,0.100000,0.061328,0.005943,0.004671
16,0.200000,0.084375,0.012275,0.007181
16,0.300000,0.121563,0.024377,0.009798
16,0.350000,0.208359,0.064057,0.014368
16,0.400000,0.380000,0.190009,0.021356
16,0.420000,0.557891,0.365363,0.023264
16,0.430000,0.624922,0.431501,0.020242
16,0.440000,0.734297,0.572199,0.018168
16,0.450000,0.785859,0.631054,0.011610
16,0.460000,0.813203,0.682459,0.014546
16,0.480000,0.883203,0.783272,0.005678
16,0.500000,0.912266,0.834504,0.004770
16,0.550000,0.956172,0.915120,0.002925
16,0.600000,0.974688,0.950356,0.001846
16,0.700000,0.990234,0.980668,0.001021
16,0.800000,0.996563,0.993164,0.000522
32,0.100000,0.031309,0.001569,0.002426
32,0.200000,0.047500,0.003838,0.003977
32,0.300000,0.066270,0.006629,0.004730
32,0.350000,0.104238,0.014963,0.006401
32,0.400000,0.185840,0.050075,0.012465
32,0.420000,0.353418,0.161701,0.019182
32,0.430000,0.456426,0.268520,0.024535
32,0.440000,0.633340,0.434268,0.018207
32,0.450000,0.742871,0.564757,0.011357
32,0.460000,0.817793,0.673201,0.006645
32,0.480000,0.882031,0.779282,0.003609
32,0.500000,0.910586,0.829666,0.002235
32,0.550000,0.955937,0.913991,0.001322
32,0.600000,0.973750,0.948268,0.000890
32,0.700000,0.991309,0.982708,0.000397
32,0.800000,0.995879,0.991784,0.000305
64,0.100000,0.016865,0.000456,0.001311
64,0.200000,0.019238,0.000640,0.001644
64,0.300000,0.036279,0.002109,0.002816
64,0.350000,0.048301,0.003648,0.003626
64,0.400000,0.098452,0.015511,0.007627
64,0.420000,0.181865,0.050731,0.013288
64,0.430000,0.344995,0.157318,0.019569
64,0.440000,0.577495,0.357225,0.015403
64,0.450000,0.755352,0.576103,0.007448
64,0.460000,0.818037,0.670224,0.003224
64,0.480000,0.878955,0.772843,0.001677
64,0.500000,0.910737,0.829656,0.001460
64,0.550000,0.952974,0.908206,0.000688
64,0.600000,0.973628,0.947977,0.000502
64,0.700000,0.990161,0.980426,0.000271
64,0.800000,0.995923,0.991865,0.000151
128,0.100000,0.007623,0.000085,0.000515
128,0.200000,0.009769,0.000161,0.000809
128,0.300000,0.016450,0.000398,0.001130
128,0.350000,0.023245,0.000843,0.001740
128,0.400000,0.046147,0.003522,0.003731
128,0.420000,0.094613,0.013275,0.006575
128,0.430000,0.157059,0.036554,0.010903
128,0.440000,0.493273,0.271138,0.016679
128,0.450000,0.745182,0.556812,0.003893
128,0.460000,0.812314,0.660321,0.002160
128,0.480000,0.876561,0.768476,0.001080
128,0.500000,0.911886,0.831586,0.000705
128,0.550000,0.953744,0.909643,0.000395
128,0.600000,0.973634,0.947970,0.000256
128,0.700000,0.990183,0.980464,0.000124
128,0.800000,0.995913,0.991843,0.000077
