L,beta,<M>,<M2>,errore su <M>
60,0.100000,0.016706,0.000459,0.001340
60,0.200000,0.023494,0.000834,0.001681
60,0.300000,0.037517,0.002172,0.002764
60,0.350000,0.048828,0.003700,0.003627
60,0.400000,0.105667,0.017286,0.007824
60,0.420000,0.201783,0.057080,0.012792
60,0.430000,0.341272,0.154289,0.019448
60,0.440000,0.572261,0.358054,0.017485
60,0.450000,0.753039,0.574396,0.008560
60,0.460000,0.811444,0.659910,0.003831
60,0.480000,0.879211,0.773332,0.001788
60,0.500000,0.913444,0.834571,0.001380
60,0.550000,0.953589,0.909392,0.000778
60,0.600000,0.973156,0.947058,0.000515
60,0.700000,0.990561,0.981220,0.000301
60,0.800000,0.995950,0.991919,0.000172
120,0.100000,0.007835,0.000099,0.000615
120,0.200000,0.010624,0.000174,0.000782
120,0.300000,0.018419,0.000491,0.001231
120,0.350000,0.025708,0.001003,0.001849
120,0.400000,0.043485,0.002870,0.003129
120,0.420000,0.098331,0.014127,0.006677
120,0.430000,0.180012,0.045588,0.011482
120,0.440000,0.534032,0.307578,0.014962
120,0.450000,0.756979,0.574187,0.003420
120,0.460000,0.816879,0.667625,0.001825
120,0.480000,0.877404,0.769959,0.001098
120,0.500000,0.910517,0.829091,0.000707
120,0.550000,0.954415,0.910925,0.000402
120,0.600000,0.973637,0.947980,0.000316
120,0.700000,0.990275,0.980646,0.000133
120,0.800000,0.995979,0.991975,0.000091
240,0.100000,0.003769,0.000023,0.000302
240,0.200000,0.005091,0.000041,0.000387
240,0.300000,0.008149,0.000104,0.000613
240,0.350000,0.012649,0.000261,0.001003
240,0.400000,0.028081,0.001141,0.001878
240,0.420000,0.046235,0.003421,0.003582
240,0.430000,0.085670,0.011864,0.006727
240,0.440000,0.498902,0.265125,0.012736
240,0.450000,0.749496,0.562060,0.001777
240,0.460000,0.815507,0.665193,0.001187
240,0.480000,0.877431,0.769911,0.000511
240,0.500000,0.910984,0.829908,0.000402
240,0.550000,0.953951,0.910027,0.000219
240,0.600000,0.973811,0.948310,0.000131
240,0.700000,0.990285,0.980666,0.000070
240,0.800000,0.996020,0.992056,0.000038
