L,beta,<M>,<M2>,errore su <M>
16,0.100000,0.060703,0.005541,0.004309
16,0.200000,0.070078,0.007924,0.005489
16,0.300000,0.124609,0.024131,0.009276
16,0.400000,0.393516,0.201818,0.021671
16,0.420000,0.559766,0.367354,0.023241
16,0.430000,0.650156,0.467203,0.021095
16,0.440000,0.737578,0.577569,0.018316
16,0.450000,0.772891,0.625556,0.016792
16,0.460000,0.815703,0.679504,0.011888
16,0.480000,0.870703,0.773174,0.012268
16,0.500000,0.909375,0.829821,0.005346
16,0.600000,0.972500,0.946139,0.001956
16,0.700000,0.988047,0.976365,0.001135
16,0.800000,0.995938,0.991923,0.000558
32,0.100000,0.030312,0.001440,0.002282
32,0.200000,0.042285,0.002829,0.003227
32,0.300000,0.072129,0.007909,0.005202
32,0.400000,0.191152,0.056258,0.014042
32,0.420000,0.369082,0.177220,0.020248
32,0.430000,0.506875,0.299208,0.020563
32,0.440000,0.665527,0.464952,0.014841
32,0.450000,0.775293,0.608421,0.008569
32,0.460000,0.800801,0.650566,0.009635
32,0.480000,0.877070,0.770917,0.004080
32,0.500000,0.911797,0.831973,0.002448
32,0.600000,0.973867,0.948494,0.000876
32,0.700000,0.989922,0.979974,0.000533
32,0.800000,0.996328,0.992679,0.000302
64,0.100000,0.015635,0.000379,0.001162
64,0.200000,0.021294,0.000694,0.001551
64,0.300000,0.035371,0.001875,0.002499
64,0.400000,0.102690,0.016120,0.007466
64,0.420000,0.196948,0.057057,0.013516
64,0.430000,0.284663,0.111501,0.017455
64,0.440000,0.557246,0.348173,0.019403
64,0.450000,0.752305,0.571208,0.007242
64,0.460000,0.816753,0.668501,0.003762
64,0.480000,0.880801,0.776082,0.001649
64,0.500000,0.910742,0.829602,0.001227
64,0.600000,0.973521,0.947765,0.000480
64,0.700000,0.989751,0.979614,0.000261
64,0.800000,0.996099,0.992215,0.000170
128,0.100000,0.006735,0.000080,0.000586
128,0.200000,0.010731,0.000165,0.000705
128,0.300000,0.016091,0.000396,0.001172
128,0.400000,0.049165,0.003657,0.003520
128,0.420000,0.085896,0.012324,0.007033
128,0.430000,0.182402,0.046723,0.011598
128,0.440000,0.509686,0.290182,0.017436
128,0.450000,0.755631,0.572005,0.003203
128,0.460000,0.815132,0.664765,0.001804
128,0.480000,0.877615,0.770317,0.001043
128,0.500000,0.911393,0.830675,0.000614
128,0.600000,0.973270,0.947261,0.000248
128,0.700000,0.989966,0.980034,0.000132
128,0.800000,0.996012,0.992040,0.000078
