L,beta,<M>,<M2>,errore su <M>
60,0.100000,0.017228,0.000466,0.001302
60,0.200000,0.023928,0.000837,0.001627
60,0.300000,0.033550,0.001696,0.002389
60,0.350000,0.055000,0.004553,0.003909
60,0.400000,0.104433,0.016979,0.007793
60,0.420000,0.204944,0.056213,0.011921
60,0.430000,0.339833,0.150431,0.018693
60,0.440000,0.594811,0.380622,0.016377
60,0.450000,0.755161,0.574266,0.006322
60,0.460000,0.819011,0.672075,0.003599
60,0.480000,0.877694,0.770754,0.002016
60,0.500000,0.910333,0.828968,0.001616
60,0.550000,0.953911,0.910011,0.000803
60,0.600000,0.973083,0.946917,0.000511
60,0.700000,0.990367,0.980834,0.000280
60,0.800000,0.995911,0.991842,0.000169
120,0.100000,0.009054,0.000117,0.000588
120,0.200000,0.010865,0.000189,0.000843
120,0.300000,0.020886,0.000631,0.001395
120,0.350000,0.030107,0.001406,0.002235
120,0.400000,0.053668,0.004635,0.004189
120,0.420000,0.098943,0.015170,0.007335
120,0.430000,0.171119,0.043713,0.012013
120,0.440000,0.499201,0.274838,0.016011
120,0.450000,0.747975,0.561408,0.004406
120,0.460000,0.813175,0.661957,0.002652
120,0.480000,0.876301,0.768042,0.001173
120,0.500000,0.912044,0.831873,0.000691
120,0.550000,0.954026,0.910183,0.000407
120,0.600000,0.974126,0.948930,0.000276
120,0.700000,0.989989,0.980080,0.000130
120,0.800000,0.995896,0.991809,0.000085
240,0.100000,0.004312,0.000028,0.000308
240,0.200000,0.005600,0.000055,0.000486
240,0.300000,0.008060,0.000117,0.000720
240,0.350000,0.011575,0.000199,0.000806
240,0.400000,0.028611,0.001280,0.002148
240,0.420000,0.049222,0.003790,0.003697
240,0.430000,0.077778,0.009486,0.005862
240,0.440000,0.513766,0.278407,0.012022
240,0.450000,0.748782,0.560976,0.001739
240,0.460000,0.814676,0.663796,0.000992
240,0.480000,0.877689,0.770368,0.000557
240,0.500000,0.911648,0.831115,0.000368
240,0.550000,0.953982,0.910087,0.000214
240,0.600000,0.973490,0.947684,0.000121
240,0.700000,0.990204,0.980504,0.000070
240,0.800000,0.995978,0.991973,0.000042
