L,beta,<M>,<M2>,errore su <M>
16,0.100000,0.060000,0.006511,0.005396
16,0.200000,0.089453,0.012117,0.006415
16,0.300000,0.149297,0.034594,0.011093
16,0.350000,0.201797,0.060560,0.014085
16,0.400000,0.391563,0.198043,0.021148
16,0.420000,0.560234,0.359318,0.021320
16,0.430000,0.645938,0.461973,0.021151
16,0.440000,0.735078,0.563420,0.015192
16,0.450000,0.775391,0.623989,0.015086
16,0.460000,0.835078,0.710239,0.011350
16,0.480000,0.878203,0.776281,0.007100
16,0.500000,0.903906,0.819813,0.005260
16,0.550000,0.951328,0.905967,0.003070
16,0.600000,0.972969,0.946973,0.001745
16,0.700000,0.991484,0.983127,0.000925
16,0.800000,0.996641,0.993328,0.000598
32,0.100000,0.031074,0.001535,0.002386
32,0.200000,0.042461,0.003134,0.003649
32,0.300000,0.068496,0.007026,0.004831
32,0.350000,0.105684,0.016824,0.007520
32,0.400000,0.177656,0.045936,0.011989
32,0.420000,0.365000,0.173102,0.019969
32,0.430000,0.513086,0.306751,0.020855
32,0.440000,0.625820,0.432974,0.020328
32,0.450000,0.752832,0.581343,0.012078
32,0.460000,0.814590,0.668826,0.007259
32,0.480000,0.877207,0.770790,0.003603
32,0.500000,0.910098,0.829000,0.002687
32,0.550000,0.954902,0.912025,0.001366
32,0.600000,0.972773,0.946380,0.000958
32,0.700000,0.989023,0.978203,0.000594
32,0.800000,0.996172,0.992370,0.000345
64,0.100000,0.015752,0.000378,0.001139
64,0.200000,0.022178,0.000707,0.001467
64,0.300000,0.039839,0.002305,0.002680
64,0.350000,0.052939,0.004591,0.004229
64,0.400000,0.094292,0.014679,0.007608
64,0.420000,0.179751,0.049449,0.013091
64,0.430000,0.296211,0.117742,0.017321
64,0.440000,0.605015,0.388445,0.014967
64,0.450000,0.758345,0.579495,0.006640
64,0.460000,0.812280,0.661660,0.004314
64,0.480000,0.876528,0.768702,0.002000
64,0.500000,0.911221,0.830485,0.001270
64,0.550000,0.953623,0.909450,0.000726
64,0.600000,0.974082,0.948861,0.000502
64,0.700000,0.990317,0.980735,0.000245
64,0.800000,0.996123,0.992263,0.000141
128,0.100000,0.008656,0.000110,0.000589
128,0.200000,0.011360,0.000200,0.000840
128,0.300000,0.017123,0.000478,0.001358
128,0.350000,0.022738,0.000794,0.001663
128,0.400000,0.046531,0.003567,0.003745
128,0.420000,0.087841,0.012490,0.006910
128,0.430000,0.180712,0.048467,0.012574
128,0.440000,0.480664,0.266785,0.018907
128,0.450000,0.737166,0.545962,0.005048
128,0.460000,0.818383,0.670012,0.001620
128,0.480000,0.877214,0.769608,0.001016
128,0.500000,0.911287,0.830490,0.000681
128,0.550000,0.953798,0.909745,0.000391
128,0.600000,0.973695,0.948086,0.000200
128,0.700000,0.990205,0.980508,0.000123
128,0.800000,0.996023,0.992062,0.000087
