L,beta,<M>,<M2>,errore su <M>
60,0.100000,0.017344,0.000467,0.001291
60,0.200000,0.022617,0.000805,0.001712
60,0.300000,0.031850,0.001644,0.002509
60,0.350000,0.052511,0.003951,0.003455
60,0.400000,0.112717,0.020199,0.008657
60,0.420000,0.188167,0.052020,0.012889
60,0.430000,0.318922,0.133941,0.017953
60,0.440000,0.584356,0.376409,0.018692
60,0.450000,0.735639,0.546092,0.007020
60,0.460000,0.815450,0.666239,0.003578
60,0.480000,0.879872,0.774571,0.001990
60,0.500000,0.911100,0.830386,0.001681
60,0.550000,0.953444,0.909134,0.000882
60,0.600000,0.973450,0.947639,0.000583
60,0.700000,0.990100,0.980304,0.000246
60,0.800000,0.995950,0.991919,0.000172
120,0.100000,0.008010,0.000101,0.000608
120,0.200000,0.011626,0.000231,0.000979
120,0.300000,0.017907,0.000505,0.001357
120,0.350000,0.028801,0.001288,0.002140
120,0.400000,0.052147,0.004344,0.004030
120,0.420000,0.091081,0.013058,0.006901
120,0.430000,0.177994,0.047960,0.012758
120,0.440000,0.508696,0.285574,0.016371
120,0.450000,0.744314,0.555591,0.003985
120,0.460000,0.817496,0.668695,0.001990
120,0.480000,0.879360,0.773387,0.001065
120,0.500000,0.911329,0.830576,0.000741
120,0.550000,0.954275,0.910653,0.000349
120,0.600000,0.973567,0.947839,0.000263
120,0.700000,0.990246,0.980589,0.000135
120,0.800000,0.995808,0.991635,0.000088
240,0.100000,0.004032,0.000024,0.000284
240,0.200000,0.005970,0.000059,0.000480
240,0.300000,0.008414,0.000116,0.000671
240,0.350000,0.013548,0.000266,0.000906
240,0.400000,0.027446,0.001144,0.001978
240,0.420000,0.056141,0.004569,0.003764
240,0.430000,0.086447,0.011898,0.006652
240,0.440000,0.416507,0.196505,0.015175
240,0.450000,0.749973,0.562786,0.001810
240,0.460000,0.814320,0.663247,0.001139
240,0.480000,0.877068,0.769285,0.000613
240,0.500000,0.911517,0.830874,0.000329
240,0.550000,0.954196,0.910493,0.000170
240,0.600000,0.973614,0.947926,0.000129
240,0.700000,0.990155,0.980406,0.000055
240,0.800000,0.996073,0.992162,0.000043
