L,beta,<M>,<M2>,errore su <M>
60,0.100000,0.017283,0.000474,0.001323
60,0.200000,0.021172,0.000714,0.001630
60,0.300000,0.031556,0.001817,0.002866
60,0.350000,0.055089,0.004677,0.004052
60,0.400000,0.107928,0.018745,0.008424
60,0.420000,0.177806,0.050226,0.013642
60,0.430000,0.363056,0.169949,0.019529
60,0.440000,0.566867,0.352989,0.017791
60,0.450000,0.759172,0.579613,0.005719
60,0.460000,0.805294,0.650324,0.004272
60,0.480000,0.880572,0.775778,0.001926
60,0.500000,0.914294,0.836098,0.001280
60,0.550000,0.953133,0.908529,0.000811
60,0.600000,0.973361,0.947455,0.000476
60,0.700000,0.990106,0.980318,0.000297
60,0.800000,0.995689,0.991399,0.000146
120,0.100000,0.008858,0.000120,0.000643
120,0.200000,0.011190,0.000182,0.000754
120,0.300000,0.020201,0.000631,0.001492
120,0.350000,0.023801,0.000922,0.001886
120,0.400000,0.051501,0.004703,0.004529
120,0.420000,0.091171,0.013031,0.006870
120,0.430000,0.154492,0.034977,0.010540
120,0.440000,0.504060,0.283819,0.017246
120,0.450000,0.754506,0.570254,0.003123
120,0.460000,0.815625,0.665645,0.002001
120,0.480000,0.877056,0.769324,0.000987
120,0.500000,0.912168,0.832107,0.000754
120,0.550000,0.953589,0.909349,0.000413
120,0.600000,0.973392,0.947499,0.000268
120,0.700000,0.990225,0.980547,0.000133
120,0.800000,0.995990,0.991997,0.000078
240,0.100000,0.004035,0.000027,0.000327
240,0.200000,0.005303,0.000049,0.000455
240,0.300000,0.009043,0.000126,0.000663
240,0.350000,0.013940,0.000315,0.001097
240,0.400000,0.029699,0.001334,0.002127
240,0.420000,0.049092,0.003706,0.003599
240,0.430000,0.074317,0.009328,0.006168
240,0.440000,0.483724,0.253079,0.013817
240,0.450000,0.749577,0.562185,0.001787
240,0.460000,0.814744,0.663921,0.001062
240,0.480000,0.877975,0.770872,0.000557
240,0.500000,0.911805,0.831401,0.000356
240,0.550000,0.954227,0.910554,0.000200
240,0.600000,0.973520,0.947742,0.000131
240,0.700000,0.990118,0.980334,0.000069
240,0.800000,0.996004,0.992024,0.000039
