sweep,magnetizzazione_su_spin
500,0.362222
1000,0.515556
1500,0.616806
2000,0.692083
2500,0.613472
3000,0.652639
3500,0.598889
4000,0.517222
4500,0.491528
5000,0.517778
5500,0.322639
6000,0.413333
6500,0.440417
7000,0.464306
7500,0.401806
8000,0.633889
8500,0.593750
9000,0.580694
9500,0.595000
10000,0.491528
10500,0.501389
11000,0.541389
11500,0.490278
12000,0.656250
12500,0.501528
13000,0.611528
13500,0.656111
14000,0.650278
14500,0.629861
15000,0.462083
15500,0.635278
16000,0.595694
16500,0.662361
17000,0.544861
17500,0.576944
18000,0.606389
18500,0.425694
19000,0.401667
19500,0.375000
20000,0.562639
20500,0.598056
21000,0.677500
21500,0.572083
22000,0.552222
22500,0.534444
23000,0.481806
23500,0.589722
24000,0.683472
24500,0.550278
25000,0.455556
25500,0.449583
26000,0.358472
26500,0.416944
27000,0.637222
27500,0.539861
28000,0.647083
28500,0.644861
29000,0.590833
29500,0.642639
30000,0.703611
30500,0.479306
31000,0.399306
31500,0.705972
32000,0.570556
32500,0.470972
33000,0.520000
33500,0.604444
34000,0.666944
34500,0.290694
35000,0.268333
35500,0.169861
36000,0.398056
36500,0.566528
37000,0.615556
37500,0.694583
38000,0.594167
38500,0.620556
39000,0.442500
39500,0.661806
40000,0.601944
40500,0.465694
41000,0.635278
41500,0.720000
42000,0.586806
42500,0.659028
43000,0.689444
43500,0.414028
44000,-0.158889
44500,-0.273889
45000,0.188056
45500,0.194028
46000,-0.082083
46500,0.117222
47000,-0.020000
47500,-0.046944
48000,-0.052778
48500,0.318056
49000,0.668889
49500,0.616944
50000,0.690417
