sweep,magnetizzazione_su_spin
500,0.787917
1000,0.794167
1500,0.760139
2000,0.836944
2500,0.826944
3000,0.829444
3500,0.830972
4000,0.794028
4500,0.785556
5000,0.783889
5500,0.840417
6000,0.825972
6500,0.820694
7000,0.825139
7500,0.780694
8000,0.826111
8500,0.764167
9000,0.838611
9500,0.817083
10000,0.795556
10500,0.820000
11000,0.800278
11500,0.819028
12000,0.829444
12500,0.815417
13000,0.826667
13500,0.815000
14000,0.822500
14500,0.861944
15000,0.838889
15500,0.772222
16000,0.812778
16500,0.812500
17000,0.815556
17500,0.851806
18000,0.813472
18500,0.826528
19000,0.824028
19500,0.844444
20000,0.819306
20500,0.811111
21000,0.817083
21500,0.814583
22000,0.794861
22500,0.832222
23000,0.828889
23500,0.821528
24000,0.821667
24500,0.808750
25000,0.787500
25500,0.820278
26000,0.846944
26500,0.797083
27000,0.802083
27500,0.823194
28000,0.825694
28500,0.829722
29000,0.795139
29500,0.822639
30000,0.813889
30500,0.835972
31000,0.809028
31500,0.817361
32000,0.798889
32500,0.852083
33000,0.825278
33500,0.812917
34000,0.826111
34500,0.762639
35000,0.816528
35500,0.825417
36000,0.840000
36500,0.832917
37000,0.815833
37500,0.808889
38000,0.825000
38500,0.809861
39000,0.828889
39500,0.821944
40000,0.805000
40500,0.800278
41000,0.821528
41500,0.823056
42000,0.823333
42500,0.784306
43000,0.817778
43500,0.809444
44000,0.845694
44500,0.821528
45000,0.849028
45500,0.846667
46000,0.835833
46500,0.853750
47000,0.821528
47500,0.806111
48000,0.840278
48500,0.815972
49000,0.803194
49500,0.841389
50000,0.797222
