L,comp_time,comm_time,save_time,total_time
16,4.420531,1.541999,60.192127,66.154658
32,16.852080,2.177200,48.625374,67.654654
64,71.722283,4.376760,17.328998,93.428041
128,297.441343,12.173914,21.392955,331.008212
16,4.345681,1.566902,45.877698,51.790280
32,16.795557,2.184761,56.789886,75.770203
64,72.010402,4.461022,18.118769,94.590193
128,298.206805,12.894738,21.695415,332.796958
16,4.511112,1.601616,50.581863,56.694591
32,17.594765,2.313366,55.894446,75.802577
64,71.800350,4.442573,20.699260,96.942182
128,297.123264,12.642142,21.189407,330.954813
16,4.372354,1.569257,50.626575,56.568186
32,16.975913,2.197349,43.852349,63.025611
64,71.446646,4.322662,20.961846,96.731154
128,299.209640,12.720203,21.331148,333.260991
16,4.547021,1.604408,47.241140,53.392569
32,17.148844,2.175342,45.754852,65.079038
64,71.188773,4.284983,17.227683,92.701439
128,296.035510,12.358360,21.381256,329.775127
