sweep,magnetizzazione_su_spin
500,0.442383
1000,0.464355
1500,0.616699
2000,0.121582
2500,0.093750
3000,0.170898
3500,0.109863
4000,0.258789
4500,0.432129
5000,0.431641
5500,0.121094
6000,-0.316406
6500,-0.182617
7000,-0.035645
7500,-0.169434
8000,-0.516602
8500,-0.156738
9000,0.168945
9500,0.119141
10000,0.185059
10500,0.330078
11000,0.287598
11500,0.443359
12000,0.096191
12500,-0.421387
13000,0.025391
13500,0.035156
14000,0.345703
14500,0.329590
15000,0.363770
15500,-0.027344
16000,-0.102539
16500,-0.022461
17000,0.028809
17500,0.370605
18000,0.368164
18500,0.442871
19000,0.208008
19500,-0.105469
20000,-0.144531
20500,-0.536621
21000,-0.304688
21500,-0.082520
22000,0.366211
22500,-0.004883
23000,-0.078125
23500,-0.041992
24000,-0.242188
24500,-0.535645
25000,-0.368652
25500,-0.463867
26000,-0.588379
26500,-0.423340
27000,-0.145996
27500,0.214355
28000,-0.125488
28500,-0.267578
29000,-0.274414
29500,-0.235352
30000,0.030762
30500,-0.170898
31000,0.216309
31500,0.232910
32000,0.342285
32500,0.704590
33000,0.487793
33500,0.415527
34000,0.380859
34500,0.318848
35000,0.407715
35500,-0.063477
36000,-0.101562
36500,-0.280273
37000,-0.118652
37500,0.491699
38000,0.278320
38500,0.192871
39000,0.539551
39500,0.300293
40000,0.253418
40500,0.083008
41000,0.252930
41500,0.274902
42000,0.583008
42500,0.669434
43000,0.584961
43500,0.491211
44000,0.220215
44500,0.225586
45000,0.475098
45500,0.612793
46000,0.345703
46500,0.081543
47000,-0.469727
47500,0.072754
48000,0.356934
48500,0.326172
49000,0.180664
49500,0.600586
50000,0.317383
