sweep,magnetizzazione_su_spin
500,0.936523
1000,0.930176
1500,0.916992
2000,0.921875
2500,0.906738
3000,0.917969
3500,0.907715
4000,0.913574
4500,0.897461
5000,0.890137
5500,0.917969
6000,0.904785
6500,0.913574
7000,0.921875
7500,0.913086
8000,0.934570
8500,0.894531
9000,0.906738
9500,0.901367
10000,0.903809
10500,0.922852
11000,0.912109
11500,0.916992
12000,0.899414
12500,0.919434
13000,0.913574
13500,0.924805
14000,0.903320
14500,0.893066
15000,0.915527
15500,0.901367
16000,0.920898
16500,0.901855
17000,0.903320
17500,0.938965
18000,0.893066
18500,0.903809
19000,0.916504
19500,0.920898
20000,0.911621
20500,0.906738
21000,0.908203
21500,0.904785
22000,0.906738
22500,0.914062
23000,0.927246
23500,0.937012
24000,0.898438
24500,0.922363
25000,0.903320
25500,0.911621
26000,0.898438
26500,0.892090
27000,0.885254
27500,0.928711
28000,0.899902
28500,0.911133
29000,0.905273
29500,0.917480
30000,0.911133
30500,0.916504
31000,0.919434
31500,0.916016
32000,0.925293
32500,0.919434
33000,0.927734
33500,0.912109
34000,0.896973
34500,0.899414
35000,0.919922
35500,0.913086
36000,0.920410
36500,0.921875
37000,0.888184
37500,0.920410
38000,0.892090
38500,0.904785
39000,0.923340
39500,0.915527
40000,0.929199
40500,0.881348
41000,0.910156
41500,0.921387
42000,0.906250
42500,0.899414
43000,0.900879
43500,0.885742
44000,0.917480
44500,0.895508
45000,0.901855
45500,0.907227
46000,0.920410
46500,0.928223
47000,0.903320
47500,0.893555
48000,0.896484
48500,0.916992
49000,0.919922
49500,0.913086
50000,0.898438
