sweep,magnetizzazione_su_spin
500,0.664062
1000,0.828125
1500,0.890625
2000,0.875000
2500,0.843750
3000,0.820312
3500,0.820312
4000,0.945312
4500,-0.828125
5000,-0.554688
5500,-0.929688
6000,-0.796875
6500,-0.773438
7000,-0.875000
7500,-0.820312
8000,-0.632812
8500,-0.898438
9000,-0.859375
9500,-0.585938
10000,-0.960938
10500,-0.710938
11000,-0.781250
11500,-0.804688
12000,-0.882812
12500,-0.750000
13000,-0.882812
13500,-0.843750
14000,-0.875000
14500,-0.851562
15000,0.796875
15500,0.898438
16000,0.914062
16500,0.703125
17000,0.914062
17500,0.914062
18000,0.773438
18500,0.953125
19000,0.937500
19500,0.851562
20000,0.859375
20500,0.750000
21000,0.906250
21500,0.953125
22000,-0.117188
22500,-0.781250
23000,-0.945312
23500,-0.765625
24000,0.859375
24500,0.867188
25000,0.929688
25500,0.820312
26000,0.882812
26500,0.882812
27000,0.875000
27500,0.828125
28000,0.851562
28500,-0.703125
29000,-0.687500
29500,0.906250
30000,0.921875
30500,0.875000
31000,0.820312
31500,0.914062
32000,-0.859375
32500,-0.929688
33000,-0.445312
33500,-0.890625
34000,-0.875000
34500,-0.757812
35000,-0.882812
35500,-0.898438
36000,-0.828125
36500,-0.898438
37000,-0.914062
37500,-0.914062
38000,-0.851562
38500,-0.945312
39000,-0.820312
39500,-0.820312
40000,0.835938
40500,0.882812
41000,0.828125
41500,0.937500
42000,0.781250
42500,0.867188
43000,0.796875
43500,0.898438
44000,-0.828125
44500,-0.859375
45000,-0.859375
45500,-0.875000
46000,-0.812500
46500,-0.703125
47000,-0.953125
47500,-0.906250
48000,-0.859375
48500,0.882812
49000,0.898438
49500,0.890625
50000,-0.875000
