sweep,magnetizzazione_su_spin
500,0.179688
1000,-0.093750
1500,-0.203125
2000,0.062500
2500,-0.031250
3000,0.070312
3500,0.062500
4000,0.109375
4500,-0.007812
5000,0.031250
5500,-0.054688
6000,-0.023438
6500,0.101562
7000,-0.039062
7500,0.156250
8000,-0.054688
8500,0.031250
9000,-0.125000
9500,-0.218750
10000,-0.062500
10500,0.078125
11000,0.000000
11500,0.101562
12000,0.078125
12500,0.164062
13000,-0.187500
13500,-0.054688
14000,-0.015625
14500,-0.109375
15000,0.000000
15500,-0.171875
16000,-0.187500
16500,-0.156250
17000,0.078125
17500,0.046875
18000,0.015625
18500,0.101562
19000,0.101562
19500,0.023438
20000,-0.164062
20500,-0.062500
21000,0.046875
21500,-0.093750
22000,-0.179688
22500,0.109375
23000,0.210938
23500,0.242188
24000,0.039062
24500,0.007812
25000,0.117188
25500,0.046875
26000,0.000000
26500,-0.140625
27000,0.015625
27500,0.015625
28000,0.078125
28500,-0.132812
29000,0.171875
29500,-0.109375
30000,-0.007812
30500,-0.031250
31000,-0.046875
31500,0.101562
32000,0.164062
32500,-0.125000
33000,0.054688
33500,-0.054688
34000,-0.093750
34500,0.054688
35000,0.054688
35500,0.164062
36000,0.039062
36500,-0.070312
37000,-0.023438
37500,0.039062
38000,0.250000
38500,0.007812
39000,-0.015625
39500,0.132812
40000,-0.164062
40500,0.015625
41000,-0.101562
41500,-0.039062
42000,0.023438
42500,0.148438
43000,0.062500
43500,0.078125
44000,-0.031250
44500,0.156250
45000,0.156250
45500,-0.117188
46000,0.187500
46500,0.015625
47000,0.187500
47500,0.007812
48000,0.195312
48500,0.039062
49000,-0.031250
49500,-0.109375
50000,-0.171875
