sweep,magnetizzazione_su_spin
500,0.625000
1000,-0.687500
1500,-0.375000
2000,-0.328125
2500,-0.031250
3000,-0.257812
3500,0.250000
4000,0.398438
4500,0.523438
5000,-0.140625
5500,0.687500
6000,0.539062
6500,-0.023438
7000,-0.359375
7500,-0.625000
8000,-0.507812
8500,-0.750000
9000,0.460938
9500,0.273438
10000,-0.023438
10500,-0.218750
11000,-0.539062
11500,-0.007812
12000,-0.656250
12500,0.726562
13000,0.546875
13500,0.234375
14000,-0.273438
14500,0.257812
15000,-0.062500
15500,0.328125
16000,-0.382812
16500,0.632812
17000,0.304688
17500,0.234375
18000,-0.312500
18500,-0.351562
19000,-0.453125
19500,-0.554688
20000,-0.601562
20500,0.015625
21000,-0.203125
21500,0.054688
22000,-0.085938
22500,-0.679688
23000,-0.531250
23500,-0.562500
24000,0.406250
24500,0.648438
25000,-0.296875
25500,-0.070312
26000,0.585938
26500,0.429688
27000,-0.531250
27500,0.210938
28000,0.132812
28500,-0.320312
29000,-0.281250
29500,0.710938
30000,0.617188
30500,0.437500
31000,-0.164062
31500,0.218750
32000,0.125000
32500,0.304688
33000,-0.015625
33500,-0.757812
34000,-0.562500
34500,0.453125
35000,0.812500
35500,0.570312
36000,-0.320312
36500,0.578125
37000,-0.375000
37500,-0.093750
38000,-0.601562
38500,0.296875
39000,0.273438
39500,-0.093750
40000,-0.195312
40500,-0.195312
41000,0.695312
41500,0.570312
42000,-0.664062
42500,-0.453125
43000,-0.101562
43500,0.648438
44000,0.406250
44500,-0.187500
45000,0.281250
45500,0.695312
46000,-0.109375
46500,-0.250000
47000,-0.437500
47500,0.664062
48000,-0.570312
48500,-0.585938
49000,0.765625
49500,0.406250
50000,0.492188
