sweep,magnetizzazione_su_spin
500,0.968750
1000,0.929688
1500,0.976562
2000,0.968750
2500,0.992188
3000,0.953125
3500,0.929688
4000,0.976562
4500,0.992188
5000,0.984375
5500,0.976562
6000,0.976562
6500,0.945312
7000,0.968750
7500,0.976562
8000,0.976562
8500,0.984375
9000,0.968750
9500,1.000000
10000,1.000000
10500,0.984375
11000,0.992188
11500,0.960938
12000,0.976562
12500,0.992188
13000,0.976562
13500,0.976562
14000,1.000000
14500,0.992188
15000,0.968750
15500,0.968750
16000,0.984375
16500,1.000000
17000,0.976562
17500,0.968750
18000,0.953125
18500,0.992188
19000,0.960938
19500,0.976562
20000,0.976562
20500,0.984375
21000,0.976562
21500,0.953125
22000,0.945312
22500,0.960938
23000,0.984375
23500,0.976562
24000,0.976562
24500,0.953125
25000,0.984375
25500,0.937500
26000,0.960938
26500,0.984375
27000,0.992188
27500,1.000000
28000,0.960938
28500,0.992188
29000,0.992188
29500,0.976562
30000,0.976562
30500,0.968750
31000,0.976562
31500,0.968750
32000,0.960938
32500,0.953125
33000,0.976562
33500,0.953125
34000,0.953125
34500,1.000000
35000,1.000000
35500,0.992188
36000,0.976562
36500,0.992188
37000,0.960938
37500,0.953125
38000,0.968750
38500,0.968750
39000,0.945312
39500,0.968750
40000,0.960938
40500,0.992188
41000,0.992188
41500,0.906250
42000,0.992188
42500,0.968750
43000,0.968750
43500,0.953125
44000,0.976562
44500,0.953125
45000,0.992188
45500,0.968750
46000,0.984375
46500,0.984375
47000,0.945312
47500,0.968750
48000,0.960938
48500,0.984375
49000,0.968750
49500,0.968750
50000,0.976562
